indicator,name,description,sources
CRS.P.10.T.D.130,"ODA, , Experts and other technical assistance, Population Policies/Programmes & Reproductive Health",Bilateral ODA Experts and other technical assistance Population Policies/Programmes & Reproductive Health (Provider),['CRS']
CRS.P.10.T.D.140,"ODA, , Experts and other technical assistance, Water Supply & Sanitation",Bilateral ODA Experts and other technical assistance Water Supply & Sanitation (Provider),['CRS']
CRS.P.10.T.D.150,"ODA, , Experts and other technical assistance, Government & Civil Society",Bilateral ODA Experts and other technical assistance Government & Civil Society (Provider),['CRS']
CRS.P.10.T.D.160,"ODA, , Experts and other technical assistance, Other Social Infrastructure & Services",Bilateral ODA Experts and other technical assistance Other Social Infrastructure & Services (Provider),['CRS']
CRS.P.10.T.D.210,"ODA, , Experts and other technical assistance, Transport & Storage",Bilateral ODA Experts and other technical assistance Transport & Storage (Provider),['CRS']
CRS.P.10.T.D.220,"ODA, , Experts and other technical assistance, Communications",Bilateral ODA Experts and other technical assistance Communications (Provider),['CRS']
CRS.P.10.T.D.230,"ODA, , Experts and other technical assistance, Energy",Bilateral ODA Experts and other technical assistance Energy (Provider),['CRS']
CRS.P.10.T.D.240,"ODA, , Experts and other technical assistance, Banking & Financial Services",Bilateral ODA Experts and other technical assistance Banking & Financial Services (Provider),['CRS']
CRS.P.10.T.D.250,"ODA, , Experts and other technical assistance, Business & Other Services",Bilateral ODA Experts and other technical assistance Business & Other Services (Provider),['CRS']
CRS.P.10.T.D.310,"ODA, , Experts and other technical assistance, Agriculture, Forestry, Fishing","Bilateral ODA Experts and other technical assistance Agriculture, Forestry, Fishing (Provider)",['CRS']
CRS.P.10.T.D.320,"ODA, , Experts and other technical assistance, Industry, Mining, Construction","Bilateral ODA Experts and other technical assistance Industry, Mining, Construction (Provider)",['CRS']
CRS.P.10.T.D.330,"ODA, , Experts and other technical assistance, Trade Policies & Regulations",Bilateral ODA Experts and other technical assistance Trade Policies & Regulations (Provider),['CRS']
CRS.P.10.T.D.410,"ODA, , Experts and other technical assistance, General Environment Protection",Bilateral ODA Experts and other technical assistance General Environment Protection (Provider),['CRS']
CRS.P.10.T.D.430,"ODA, , Experts and other technical assistance, Other Multisector",Bilateral ODA Experts and other technical assistance Other Multisector (Provider),['CRS']
CRS.P.10.T.D.510,"ODA, , Experts and other technical assistance, General Budget Support",Bilateral ODA Experts and other technical assistance General Budget Support (Provider),['CRS']
CRS.P.10.T.D.520,"ODA, , Experts and other technical assistance, Development Food Assistance",Bilateral ODA Experts and other technical assistance Development Food Assistance (Provider),['CRS']
CRS.P.10.T.D.720,"ODA, , Experts and other technical assistance, Emergency Response",Bilateral ODA Experts and other technical assistance Emergency Response (Provider),['CRS']
CRS.P.10.T.D.730,"ODA, , Experts and other technical assistance, Reconstruction Relief & Rehabilitation",Bilateral ODA Experts and other technical assistance Reconstruction Relief & Rehabilitation (Provider),['CRS']
CRS.P.10.T.D.740,"ODA, , Experts and other technical assistance, Disaster Prevention & Preparedness",Bilateral ODA Experts and other technical assistance Disaster Prevention & Preparedness (Provider),['CRS']
CRS.P.10.T.D.910,"ODA, , Experts and other technical assistance, Administrative Costs of Donors",Bilateral ODA Experts and other technical assistance Administrative Costs of Donors (Provider),['CRS']
CRS.P.10.T.D.998,"ODA, , Experts and other technical assistance, Unallocated / Unspecified",Bilateral ODA Experts and other technical assistance Unallocated / Unspecified (Provider),['CRS']
CRS.P.10.T.E.110,"ODA, , Scholarships and student costs in donor countries, Education",Bilateral ODA Scholarships and student costs in donor countries Education (Provider),['CRS']
CRS.P.10.T.E.120,"ODA, , Scholarships and student costs in donor countries, Health",Bilateral ODA Scholarships and student costs in donor countries Health (Provider),['CRS']
CRS.P.10.T.E.130,"ODA, , Scholarships and student costs in donor countries, Population Policies/Programmes & Reproductive Health",Bilateral ODA Scholarships and student costs in donor countries Population Policies/Programmes & Reproductive Health (Provider),['CRS']
CRS.P.10.T.E.140,"ODA, , Scholarships and student costs in donor countries, Water Supply & Sanitation",Bilateral ODA Scholarships and student costs in donor countries Water Supply & Sanitation (Provider),['CRS']
CRS.P.10.T.E.150,"ODA, , Scholarships and student costs in donor countries, Government & Civil Society",Bilateral ODA Scholarships and student costs in donor countries Government & Civil Society (Provider),['CRS']
CRS.P.10.T.E.160,"ODA, , Scholarships and student costs in donor countries, Other Social Infrastructure & Services",Bilateral ODA Scholarships and student costs in donor countries Other Social Infrastructure & Services (Provider),['CRS']
CRS.P.10.T.E.210,"ODA, , Scholarships and student costs in donor countries, Transport & Storage",Bilateral ODA Scholarships and student costs in donor countries Transport & Storage (Provider),['CRS']
CRS.P.10.T.E.220,"ODA, , Scholarships and student costs in donor countries, Communications",Bilateral ODA Scholarships and student costs in donor countries Communications (Provider),['CRS']
CRS.P.10.T.E.230,"ODA, , Scholarships and student costs in donor countries, Energy",Bilateral ODA Scholarships and student costs in donor countries Energy (Provider),['CRS']
CRS.P.10.T.E.240,"ODA, , Scholarships and student costs in donor countries, Banking & Financial Services",Bilateral ODA Scholarships and student costs in donor countries Banking & Financial Services (Provider),['CRS']
CRS.P.10.T.E.250,"ODA, , Scholarships and student costs in donor countries, Business & Other Services",Bilateral ODA Scholarships and student costs in donor countries Business & Other Services (Provider),['CRS']
CRS.P.10.T.E.310,"ODA, , Scholarships and student costs in donor countries, Agriculture, Forestry, Fishing","Bilateral ODA Scholarships and student costs in donor countries Agriculture, Forestry, Fishing (Provider)",['CRS']
CRS.P.10.T.E.320,"ODA, , Scholarships and student costs in donor countries, Industry, Mining, Construction","Bilateral ODA Scholarships and student costs in donor countries Industry, Mining, Construction (Provider)",['CRS']
CRS.P.10.T.E.330,"ODA, , Scholarships and student costs in donor countries, Trade Policies & Regulations",Bilateral ODA Scholarships and student costs in donor countries Trade Policies & Regulations (Provider),['CRS']
CRS.P.10.T.E.410,"ODA, , Scholarships and student costs in donor countries, General Environment Protection",Bilateral ODA Scholarships and student costs in donor countries General Environment Protection (Provider),['CRS']
CRS.P.10.T.E.430,"ODA, , Scholarships and student costs in donor countries, Other Multisector",Bilateral ODA Scholarships and student costs in donor countries Other Multisector (Provider),['CRS']
CRS.P.10.T.E.720,"ODA, , Scholarships and student costs in donor countries, Emergency Response",Bilateral ODA Scholarships and student costs in donor countries Emergency Response (Provider),['CRS']
CRS.P.10.T.E.998,"ODA, , Scholarships and student costs in donor countries, Unallocated / Unspecified",Bilateral ODA Scholarships and student costs in donor countries Unallocated / Unspecified (Provider),['CRS']
CRS.P.10.T.F.600,"ODA, , Debt relief, Action Relating to Debt",Bilateral ODA Debt relief Action Relating to Debt (Provider),['CRS']
CRS.P.10.T.G.110,"ODA, , Administrative costs not included elsewhere, Education",Bilateral ODA Administrative costs not included elsewhere Education (Provider),['CRS']
CRS.P.10.T.G.120,"ODA, , Administrative costs not included elsewhere, Health",Bilateral ODA Administrative costs not included elsewhere Health (Provider),['CRS']
CRS.P.10.T.G.130,"ODA, , Administrative costs not included elsewhere, Population Policies/Programmes & Reproductive Health",Bilateral ODA Administrative costs not included elsewhere Population Policies/Programmes & Reproductive Health (Provider),['CRS']
CRS.P.10.T.G.140,"ODA, , Administrative costs not included elsewhere, Water Supply & Sanitation",Bilateral ODA Administrative costs not included elsewhere Water Supply & Sanitation (Provider),['CRS']
CRS.P.10.T.G.150,"ODA, , Administrative costs not included elsewhere, Government & Civil Society",Bilateral ODA Administrative costs not included elsewhere Government & Civil Society (Provider),['CRS']
CRS.P.10.T.G.160,"ODA, , Administrative costs not included elsewhere, Other Social Infrastructure & Services",Bilateral ODA Administrative costs not included elsewhere Other Social Infrastructure & Services (Provider),['CRS']
CRS.P.10.T.G.220,"ODA, , Administrative costs not included elsewhere, Communications",Bilateral ODA Administrative costs not included elsewhere Communications (Provider),['CRS']
CRS.P.10.T.G.310,"ODA, , Administrative costs not included elsewhere, Agriculture, Forestry, Fishing","Bilateral ODA Administrative costs not included elsewhere Agriculture, Forestry, Fishing (Provider)",['CRS']
CRS.P.10.T.G.320,"ODA, , Administrative costs not included elsewhere, Industry, Mining, Construction","Bilateral ODA Administrative costs not included elsewhere Industry, Mining, Construction (Provider)",['CRS']
CRS.P.10.T.G.410,"ODA, , Administrative costs not included elsewhere, General Environment Protection",Bilateral ODA Administrative costs not included elsewhere General Environment Protection (Provider),['CRS']
CRS.P.10.T.G.430,"ODA, , Administrative costs not included elsewhere, Other Multisector",Bilateral ODA Administrative costs not included elsewhere Other Multisector (Provider),['CRS']
CRS.P.10.T.G.520,"ODA, , Administrative costs not included elsewhere, Development Food Assistance",Bilateral ODA Administrative costs not included elsewhere Development Food Assistance (Provider),['CRS']
CRS.P.10.T.G.720,"ODA, , Administrative costs not included elsewhere, Emergency Response",Bilateral ODA Administrative costs not included elsewhere Emergency Response (Provider),['CRS']
CRS.P.10.T.G.730,"ODA, , Administrative costs not included elsewhere, Reconstruction Relief & Rehabilitation",Bilateral ODA Administrative costs not included elsewhere Reconstruction Relief & Rehabilitation (Provider),['CRS']
CRS.P.10.T.G.740,"ODA, , Administrative costs not included elsewhere, Disaster Prevention & Preparedness",Bilateral ODA Administrative costs not included elsewhere Disaster Prevention & Preparedness (Provider),['CRS']
CRS.P.10.T.G.910,"ODA, , Administrative costs not included elsewhere, Administrative Costs of Donors",Bilateral ODA Administrative costs not included elsewhere Administrative Costs of Donors (Provider),['CRS']
CRS.P.10.T.G.998,"ODA, , Administrative costs not included elsewhere, Unallocated / Unspecified",Bilateral ODA Administrative costs not included elsewhere Unallocated / Unspecified (Provider),['CRS']
CRS.P.10.T.H.140,"ODA, , Other in-donor expenditures, Water Supply & Sanitation",Bilateral ODA Other in-donor expenditures Water Supply & Sanitation (Provider),['CRS']
CRS.P.10.T.H.150,"ODA, , Other in-donor expenditures, Government & Civil Society",Bilateral ODA Other in-donor expenditures Government & Civil Society (Provider),['CRS']
CRS.P.10.T.H.410,"ODA, , Other in-donor expenditures, General Environment Protection",Bilateral ODA Other in-donor expenditures General Environment Protection (Provider),['CRS']
CRS.P.10.T.H.930,"ODA, , Other in-donor expenditures, Refugees in Donor Countries",Bilateral ODA Other in-donor expenditures Refugees in Donor Countries (Provider),['CRS']
CRS.P.10.T.H.998,"ODA, , Other in-donor expenditures, Unallocated / Unspecified",Bilateral ODA Other in-donor expenditures Unallocated / Unspecified (Provider),['CRS']
CRS.P.10.T.X.110,"ODA, , Modality not specified, Education",Bilateral ODA Modality not specified Education (Provider),['CRS']
CRS.P.10.T.X.120,"ODA, , Modality not specified, Health",Bilateral ODA Modality not specified Health (Provider),['CRS']
CRS.P.10.T.X.140,"ODA, , Modality not specified, Water Supply & Sanitation",Bilateral ODA Modality not specified Water Supply & Sanitation (Provider),['CRS']
CRS.P.10.T.X.160,"ODA, , Modality not specified, Other Social Infrastructure & Services",Bilateral ODA Modality not specified Other Social Infrastructure & Services (Provider),['CRS']
CRS.P.10.T.X.230,"ODA, , Modality not specified, Energy",Bilateral ODA Modality not specified Energy (Provider),['CRS']
CRS.P.10.T.X.250,"ODA, , Modality not specified, Business & Other Services",Bilateral ODA Modality not specified Business & Other Services (Provider),['CRS']
CRS.P.10.T.X.310,"ODA, , Modality not specified, Agriculture, Forestry, Fishing","Bilateral ODA Modality not specified Agriculture, Forestry, Fishing (Provider)",['CRS']
CRS.P.10.T.X.320,"ODA, , Modality not specified, Industry, Mining, Construction","Bilateral ODA Modality not specified Industry, Mining, Construction (Provider)",['CRS']
CRS.P.10.T.X.330,"ODA, , Modality not specified, Trade Policies & Regulations",Bilateral ODA Modality not specified Trade Policies & Regulations (Provider),['CRS']
CRS.P.10.T.X.430,"ODA, , Modality not specified, Other Multisector",Bilateral ODA Modality not specified Other Multisector (Provider),['CRS']
CRS.P.10.T.X.910,"ODA, , Modality not specified, Administrative Costs of Donors",Bilateral ODA Modality not specified Administrative Costs of Donors (Provider),['CRS']
CRS.P.10.T.X.998,"ODA, , Modality not specified, Unallocated / Unspecified",Bilateral ODA Modality not specified Unallocated / Unspecified (Provider),['CRS']
CRS.P.10.T.X.<NA>,"ODA, , Modality not specified",Bilateral ODA Modality not specified (Provider),['CRS']
CRS.P.21,OOF,Bilateral OOF (Provider),['CRS']
CRS.P.21.100,"OOF, Grants",Bilateral OOF Grants (Provider),['CRS']
CRS.P.21.100.C,"OOF, Grants, Project-type interventions",Bilateral OOF Grants Project-type interventions (Provider),['CRS']
CRS.P.21.100.C.110,"OOF, Grants, Project-type interventions, Education",Bilateral OOF Grants Project-type interventions Education (Provider),['CRS']
CRS.P.21.100.C.160,"OOF, Grants, Project-type interventions, Other Social Infrastructure & Services",Bilateral OOF Grants Project-type interventions Other Social Infrastructure & Services (Provider),['CRS']
CRS.P.21.100.C.210,"OOF, Grants, Project-type interventions, Transport & Storage",Bilateral OOF Grants Project-type interventions Transport & Storage (Provider),['CRS']
CRS.P.21.100.C.230,"OOF, Grants, Project-type interventions, Energy",Bilateral OOF Grants Project-type interventions Energy (Provider),['CRS']
CRS.P.21.100.C.240,"OOF, Grants, Project-type interventions, Banking & Financial Services",Bilateral OOF Grants Project-type interventions Banking & Financial Services (Provider),['CRS']
CRS.P.21.100.C.250,"OOF, Grants, Project-type interventions, Business & Other Services",Bilateral OOF Grants Project-type interventions Business & Other Services (Provider),['CRS']
CRS.P.21.100.C.310,"OOF, Grants, Project-type interventions, Agriculture, Forestry, Fishing","Bilateral OOF Grants Project-type interventions Agriculture, Forestry, Fishing (Provider)",['CRS']
CRS.P.21.100.C.320,"OOF, Grants, Project-type interventions, Industry, Mining, Construction","Bilateral OOF Grants Project-type interventions Industry, Mining, Construction (Provider)",['CRS']
CRS.P.21.100.C.430,"OOF, Grants, Project-type interventions, Other Multisector",Bilateral OOF Grants Project-type interventions Other Multisector (Provider),['CRS']
CRS.P.21.100.C.730,"OOF, Grants, Project-type interventions, Reconstruction Relief & Rehabilitation",Bilateral OOF Grants Project-type interventions Reconstruction Relief & Rehabilitation (Provider),['CRS']
CRS.P.21.100.C.998,"OOF, Grants, Project-type interventions, Unallocated / Unspecified",Bilateral OOF Grants Project-type interventions Unallocated / Unspecified (Provider),['CRS']
CRS.P.21.100.G,"OOF, Grants, Administrative costs not included elsewhere",Bilateral OOF Grants Administrative costs not included elsewhere (Provider),['CRS']
CRS.P.21.100.G.910,"OOF, Grants, Administrative costs not included elsewhere, Administrative Costs of Donors",Bilateral OOF Grants Administrative costs not included elsewhere Administrative Costs of Donors (Provider),['CRS']
CRS.P.21.100.T.100,"OOF, Grants, , Social infrastructure",Bilateral OOF Grants Social infrastructure (Provider),['CRS']
CRS.P.21.100.T.110,"OOF, Grants, , Education",Bilateral OOF Grants Education (Provider),['CRS']
CRS.P.21.100.T.120,"OOF, Grants, , Health",Bilateral OOF Grants Health (Provider),['CRS']
CRS.P.21.100.T.150,"OOF, Grants, , Government & Civil Society",Bilateral OOF Grants Government & Civil Society (Provider),['CRS']
CRS.P.21.100.T.160,"OOF, Grants, , Other Social Infrastructure & Services",Bilateral OOF Grants Other Social Infrastructure & Services (Provider),['CRS']
CRS.P.21.100.T.210,"OOF, Grants, , Transport & Storage",Bilateral OOF Grants Transport & Storage (Provider),['CRS']
CRS.P.21.100.T.230,"OOF, Grants, , Energy",Bilateral OOF Grants Energy (Provider),['CRS']
CRS.P.21.100.T.240,"OOF, Grants, , Banking & Financial Services",Bilateral OOF Grants Banking & Financial Services (Provider),['CRS']
CRS.P.21.100.T.250,"OOF, Grants, , Business & Other Services",Bilateral OOF Grants Business & Other Services (Provider),['CRS']
CRS.P.21.100.T.310,"OOF, Grants, , Agriculture, Forestry, Fishing","Bilateral OOF Grants Agriculture, Forestry, Fishing (Provider)",['CRS']
CRS.P.21.100.T.320,"OOF, Grants, , Industry, Mining, Construction","Bilateral OOF Grants Industry, Mining, Construction (Provider)",['CRS']
CRS.P.21.100.T.410,"OOF, Grants, , General Environment Protection",Bilateral OOF Grants General Environment Protection (Provider),['CRS']
CRS.P.21.100.T.430,"OOF, Grants, , Other Multisector",Bilateral OOF Grants Other Multisector (Provider),['CRS']
CRS.P.21.100.T.720,"OOF, Grants, , Emergency Response",Bilateral OOF Grants Emergency Response (Provider),['CRS']
CRS.P.21.100.T.730,"OOF, Grants, , Reconstruction Relief & Rehabilitation",Bilateral OOF Grants Reconstruction Relief & Rehabilitation (Provider),['CRS']
CRS.P.21.100.T.910,"OOF, Grants, , Administrative Costs of Donors",Bilateral OOF Grants Administrative Costs of Donors (Provider),['CRS']
CRS.P.21.100.T.998,"OOF, Grants, , Unallocated / Unspecified",Bilateral OOF Grants Unallocated / Unspecified (Provider),['CRS']
CRS.P.21.100.X,"OOF, Grants, Modality not specified",Bilateral OOF Grants Modality not specified (Provider),['CRS']
CRS.P.21.100.X.100,"OOF, Grants, Modality not specified, Social infrastructure",Bilateral OOF Grants Modality not specified Social infrastructure (Provider),['CRS']
CRS.P.21.100.X.110,"OOF, Grants, Modality not specified, Education",Bilateral OOF Grants Modality not specified Education (Provider),['CRS']
CRS.P.21.100.X.120,"OOF, Grants, Modality not specified, Health",Bilateral OOF Grants Modality not specified Health (Provider),['CRS']
CRS.P.21.100.X.150,"OOF, Grants, Modality not specified, Government & Civil Society",Bilateral OOF Grants Modality not specified Government & Civil Society (Provider),['CRS']
CRS.P.21.100.X.160,"OOF, Grants, Modality not specified, Other Social Infrastructure & Services",Bilateral OOF Grants Modality not specified Other Social Infrastructure & Services (Provider),['CRS']
CRS.P.21.100.X.310,"OOF, Grants, Modality not specified, Agriculture, Forestry, Fishing","Bilateral OOF Grants Modality not specified Agriculture, Forestry, Fishing (Provider)",['CRS']
CRS.P.21.100.X.410,"OOF, Grants, Modality not specified, General Environment Protection",Bilateral OOF Grants Modality not specified General Environment Protection (Provider),['CRS']
CRS.P.21.100.X.720,"OOF, Grants, Modality not specified, Emergency Response",Bilateral OOF Grants Modality not specified Emergency Response (Provider),['CRS']
CRS.P.21.100.X.998,"OOF, Grants, Modality not specified, Unallocated / Unspecified",Bilateral OOF Grants Modality not specified Unallocated / Unspecified (Provider),['CRS']
CRS.P.21.1000,"OOF, Guarantees and other unfunded contingent liabilities",Bilateral OOF Guarantees and other unfunded contingent liabilities (Provider),['CRS']
CRS.P.21.1000.C,"OOF, Guarantees and other unfunded contingent liabilities, Project-type interventions",Bilateral OOF Guarantees and other unfunded contingent liabilities Project-type interventions (Provider),['CRS']
CRS.P.21.1000.C.230,"OOF, Guarantees and other unfunded contingent liabilities, Project-type interventions, Energy",Bilateral OOF Guarantees and other unfunded contingent liabilities Project-type interventions Energy (Provider),['CRS']
CRS.P.21.1000.C.240,"OOF, Guarantees and other unfunded contingent liabilities, Project-type interventions, Banking & Financial Services",Bilateral OOF Guarantees and other unfunded contingent liabilities Project-type interventions Banking & Financial Services (Provider),['CRS']
CRS.P.21.1000.T.230,"OOF, Guarantees and other unfunded contingent liabilities, , Energy",Bilateral OOF Guarantees and other unfunded contingent liabilities Energy (Provider),['CRS']
CRS.P.21.1000.T.240,"OOF, Guarantees and other unfunded contingent liabilities, , Banking & Financial Services",Bilateral OOF Guarantees and other unfunded contingent liabilities Banking & Financial Services (Provider),['CRS']
CRS.P.21.420,"OOF, Debt instruments",Bilateral OOF Debt instruments (Provider),['CRS']
CRS.P.21.420.A,"OOF, Debt instruments, Budget support",Bilateral OOF Debt instruments Budget support (Provider),['CRS']
CRS.P.21.420.A.110,"OOF, Debt instruments, Budget support, Education",Bilateral OOF Debt instruments Budget support Education (Provider),['CRS']
CRS.P.21.420.A.120,"OOF, Debt instruments, Budget support, Health",Bilateral OOF Debt instruments Budget support Health (Provider),['CRS']
CRS.P.21.420.A.130,"OOF, Debt instruments, Budget support, Population Policies/Programmes & Reproductive Health",Bilateral OOF Debt instruments Budget support Population Policies/Programmes & Reproductive Health (Provider),['CRS']
CRS.P.21.420.A.140,"OOF, Debt instruments, Budget support, Water Supply & Sanitation",Bilateral OOF Debt instruments Budget support Water Supply & Sanitation (Provider),['CRS']
CRS.P.21.420.A.150,"OOF, Debt instruments, Budget support, Government & Civil Society",Bilateral OOF Debt instruments Budget support Government & Civil Society (Provider),['CRS']
CRS.P.21.420.A.160,"OOF, Debt instruments, Budget support, Other Social Infrastructure & Services",Bilateral OOF Debt instruments Budget support Other Social Infrastructure & Services (Provider),['CRS']
CRS.P.21.420.A.210,"OOF, Debt instruments, Budget support, Transport & Storage",Bilateral OOF Debt instruments Budget support Transport & Storage (Provider),['CRS']
CRS.P.21.420.A.220,"OOF, Debt instruments, Budget support, Communications",Bilateral OOF Debt instruments Budget support Communications (Provider),['CRS']
CRS.P.21.420.A.230,"OOF, Debt instruments, Budget support, Energy",Bilateral OOF Debt instruments Budget support Energy (Provider),['CRS']
CRS.P.21.420.A.240,"OOF, Debt instruments, Budget support, Banking & Financial Services",Bilateral OOF Debt instruments Budget support Banking & Financial Services (Provider),['CRS']
CRS.P.21.420.A.250,"OOF, Debt instruments, Budget support, Business & Other Services",Bilateral OOF Debt instruments Budget support Business & Other Services (Provider),['CRS']
CRS.P.21.420.A.310,"OOF, Debt instruments, Budget support, Agriculture, Forestry, Fishing","Bilateral OOF Debt instruments Budget support Agriculture, Forestry, Fishing (Provider)",['CRS']
CRS.P.21.420.A.320,"OOF, Debt instruments, Budget support, Industry, Mining, Construction","Bilateral OOF Debt instruments Budget support Industry, Mining, Construction (Provider)",['CRS']
CRS.P.21.420.A.330,"OOF, Debt instruments, Budget support, Trade Policies & Regulations",Bilateral OOF Debt instruments Budget support Trade Policies & Regulations (Provider),['CRS']
CRS.P.21.420.A.410,"OOF, Debt instruments, Budget support, General Environment Protection",Bilateral OOF Debt instruments Budget support General Environment Protection (Provider),['CRS']
CRS.P.21.420.A.430,"OOF, Debt instruments, Budget support, Other Multisector",Bilateral OOF Debt instruments Budget support Other Multisector (Provider),['CRS']
CRS.P.21.420.A.510,"OOF, Debt instruments, Budget support, General Budget Support",Bilateral OOF Debt instruments Budget support General Budget Support (Provider),['CRS']
CRS.P.21.420.A.520,"OOF, Debt instruments, Budget support, Development Food Assistance",Bilateral OOF Debt instruments Budget support Development Food Assistance (Provider),['CRS']
CRS.P.21.420.A.720,"OOF, Debt instruments, Budget support, Emergency Response",Bilateral OOF Debt instruments Budget support Emergency Response (Provider),['CRS']
CRS.P.21.420.A.730,"OOF, Debt instruments, Budget support, Reconstruction Relief & Rehabilitation",Bilateral OOF Debt instruments Budget support Reconstruction Relief & Rehabilitation (Provider),['CRS']
CRS.P.21.420.A.740,"OOF, Debt instruments, Budget support, Disaster Prevention & Preparedness",Bilateral OOF Debt instruments Budget support Disaster Prevention & Preparedness (Provider),['CRS']
CRS.P.21.420.C,"OOF, Debt instruments, Project-type interventions",Bilateral OOF Debt instruments Project-type interventions (Provider),['CRS']
CRS.P.21.420.C.110,"OOF, Debt instruments, Project-type interventions, Education",Bilateral OOF Debt instruments Project-type interventions Education (Provider),['CRS']
CRS.P.21.420.C.120,"OOF, Debt instruments, Project-type interventions, Health",Bilateral OOF Debt instruments Project-type interventions Health (Provider),['CRS']
CRS.P.21.420.C.130,"OOF, Debt instruments, Project-type interventions, Population Policies/Programmes & Reproductive Health",Bilateral OOF Debt instruments Project-type interventions Population Policies/Programmes & Reproductive Health (Provider),['CRS']
CRS.P.21.420.C.140,"OOF, Debt instruments, Project-type interventions, Water Supply & Sanitation",Bilateral OOF Debt instruments Project-type interventions Water Supply & Sanitation (Provider),['CRS']
CRS.P.21.420.C.150,"OOF, Debt instruments, Project-type interventions, Government & Civil Society",Bilateral OOF Debt instruments Project-type interventions Government & Civil Society (Provider),['CRS']
CRS.P.21.420.C.160,"OOF, Debt instruments, Project-type interventions, Other Social Infrastructure & Services",Bilateral OOF Debt instruments Project-type interventions Other Social Infrastructure & Services (Provider),['CRS']
CRS.P.21.420.C.210,"OOF, Debt instruments, Project-type interventions, Transport & Storage",Bilateral OOF Debt instruments Project-type interventions Transport & Storage (Provider),['CRS']
CRS.P.21.420.C.220,"OOF, Debt instruments, Project-type interventions, Communications",Bilateral OOF Debt instruments Project-type interventions Communications (Provider),['CRS']
CRS.P.21.420.C.230,"OOF, Debt instruments, Project-type interventions, Energy",Bilateral OOF Debt instruments Project-type interventions Energy (Provider),['CRS']
CRS.P.21.420.C.240,"OOF, Debt instruments, Project-type interventions, Banking & Financial Services",Bilateral OOF Debt instruments Project-type interventions Banking & Financial Services (Provider),['CRS']
CRS.P.21.420.C.250,"OOF, Debt instruments, Project-type interventions, Business & Other Services",Bilateral OOF Debt instruments Project-type interventions Business & Other Services (Provider),['CRS']
CRS.P.21.420.C.310,"OOF, Debt instruments, Project-type interventions, Agriculture, Forestry, Fishing","Bilateral OOF Debt instruments Project-type interventions Agriculture, Forestry, Fishing (Provider)",['CRS']
CRS.P.21.420.C.320,"OOF, Debt instruments, Project-type interventions, Industry, Mining, Construction","Bilateral OOF Debt instruments Project-type interventions Industry, Mining, Construction (Provider)",['CRS']
CRS.P.21.420.C.330,"OOF, Debt instruments, Project-type interventions, Trade Policies & Regulations",Bilateral OOF Debt instruments Project-type interventions Trade Policies & Regulations (Provider),['CRS']
CRS.P.21.420.C.410,"OOF, Debt instruments, Project-type interventions, General Environment Protection",Bilateral OOF Debt instruments Project-type interventions General Environment Protection (Provider),['CRS']
CRS.P.21.420.C.430,"OOF, Debt instruments, Project-type interventions, Other Multisector",Bilateral OOF Debt instruments Project-type interventions Other Multisector (Provider),['CRS']
CRS.P.21.420.C.510,"OOF, Debt instruments, Project-type interventions, General Budget Support",Bilateral OOF Debt instruments Project-type interventions General Budget Support (Provider),['CRS']
CRS.P.21.420.C.520,"OOF, Debt instruments, Project-type interventions, Development Food Assistance",Bilateral OOF Debt instruments Project-type interventions Development Food Assistance (Provider),['CRS']
CRS.P.21.420.C.530,"OOF, Debt instruments, Project-type interventions, Other Commodity Assistance",Bilateral OOF Debt instruments Project-type interventions Other Commodity Assistance (Provider),['CRS']
CRS.P.21.420.C.600,"OOF, Debt instruments, Project-type interventions, Action Relating to Debt",Bilateral OOF Debt instruments Project-type interventions Action Relating to Debt (Provider),['CRS']
CRS.P.21.420.C.720,"OOF, Debt instruments, Project-type interventions, Emergency Response",Bilateral OOF Debt instruments Project-type interventions Emergency Response (Provider),['CRS']
CRS.P.21.420.C.730,"OOF, Debt instruments, Project-type interventions, Reconstruction Relief & Rehabilitation",Bilateral OOF Debt instruments Project-type interventions Reconstruction Relief & Rehabilitation (Provider),['CRS']
CRS.P.21.420.C.740,"OOF, Debt instruments, Project-type interventions, Disaster Prevention & Preparedness",Bilateral OOF Debt instruments Project-type interventions Disaster Prevention & Preparedness (Provider),['CRS']
CRS.P.21.420.C.998,"OOF, Debt instruments, Project-type interventions, Unallocated / Unspecified",Bilateral OOF Debt instruments Project-type interventions Unallocated / Unspecified (Provider),['CRS']
CRS.P.21.420.H,"OOF, Debt instruments, Other in-donor expenditures",Bilateral OOF Debt instruments Other in-donor expenditures (Provider),['CRS']
CRS.P.21.420.H.930,"OOF, Debt instruments, Other in-donor expenditures, Refugees in Donor Countries",Bilateral OOF Debt instruments Other in-donor expenditures Refugees in Donor Countries (Provider),['CRS']
CRS.P.21.420.T.100,"OOF, Debt instruments, , Social infrastructure",Bilateral OOF Debt instruments Social infrastructure (Provider),['CRS']
CRS.P.21.420.T.110,"OOF, Debt instruments, , Education",Bilateral OOF Debt instruments Education (Provider),['CRS']
CRS.P.21.420.T.120,"OOF, Debt instruments, , Health",Bilateral OOF Debt instruments Health (Provider),['CRS']
CRS.P.21.420.T.130,"OOF, Debt instruments, , Population Policies/Programmes & Reproductive Health",Bilateral OOF Debt instruments Population Policies/Programmes & Reproductive Health (Provider),['CRS']
CRS.P.21.420.T.140,"OOF, Debt instruments, , Water Supply & Sanitation",Bilateral OOF Debt instruments Water Supply & Sanitation (Provider),['CRS']
